"age","female","voted_gen_14","voted_gen_12","treat_ind","racename","democrat","therm_trans_t0","therm_trans_t1","therm_trans_t2"
55,0,1,1,0,"Caucasian",0,100,81,75
61,0,1,1,0,"Caucasian",1,83,100,100
22,1,0,1,0,"Hispanic",0,79,88,100
58,1,1,1,1,"Hispanic",0,70,99,100
34,0,0,1,0,"Hispanic",0,50,50,50
37,1,0,1,0,"Hispanic",1,50,50,50
46,0,0,1,1,"Hispanic",0,50,50,50
58,1,1,1,1,"Caucasian",1,27,50,50
47,0,1,0,0,"Hispanic",0,50,50,20
43,1,1,0,0,"Hispanic",0,50,83,50
83,0,1,0,1,"Hispanic",0,36,40,45
29,1,0,1,1,"Hispanic",0,50,60,40
32,0,0,1,0,"Caucasian",0,50,50,65
36,1,0,1,0,"Caucasian",0,50,90,89
53,1,1,0,1,"Hispanic",0,42,50,50
19,1,0,0,1,"Hispanic",1,100,79,80
41,1,0,0,1,"Hispanic",0,37,66,50
59,1,1,1,0,"Hispanic",1,50,43,12
48,0,1,1,0,"Caucasian",0,47,41,40
56,0,1,1,0,"Hispanic",0,100,50,50
73,0,1,1,0,"Hispanic",0,88,100,100
54,0,1,1,1,"African American",1,50,50,50
56,1,1,1,1,"African American",1,65,73,60
66,0,0,1,0,"Hispanic",1,50,60,50
49,0,0,1,0,"Hispanic",0,50,50,50
71,1,1,1,0,"Hispanic",0,50,50,50
78,0,1,1,0,"Hispanic",0,50,50,50
58,0,1,1,1,"Hispanic",1,73,85,100
65,1,1,1,0,"Hispanic",0,50,10,0
68,0,1,1,0,"Hispanic",0,50,0,10
60,1,1,1,0,"Hispanic",0,50,50,50
21,1,1,1,0,"Hispanic",1,100,92,64
19,1,1,0,0,"Hispanic",1,62,80,69
68,0,1,1,1,"Hispanic",0,50,50,50
60,1,1,1,0,"Hispanic",1,82,92,89
66,1,1,1,1,"Hispanic",1,50,50,90
64,0,1,1,1,"Hispanic",0,50,50,50
54,0,1,1,0,"Hispanic",0,23,45,32
44,1,1,1,0,"Hispanic",1,50,50,50
54,0,1,1,1,"Hispanic",0,40,50,50
21,0,0,1,0,"Hispanic",0,100,50,67
20,1,0,1,0,"Hispanic",1,79,100,100
27,0,1,1,0,"Hispanic",0,21,16,40
75,1,1,1,1,"African American",1,90,82,100
77,0,1,1,1,"Caucasian",1,100,97,99
25,0,1,1,0,"Hispanic",0,50,41,50
73,1,1,1,0,"Hispanic",0,12,40,71
28,1,1,0,1,"Hispanic",0,100,100,92
40,0,1,1,0,"Hispanic",0,100,100,100
66,1,1,1,0,"Hispanic",0,50,50,50
61,1,1,0,1,"Hispanic",0,50,50,93
21,1,1,0,1,"Hispanic",0,100,100,100
48,1,0,0,1,"Hispanic",0,100,100,100
20,0,0,0,1,"Hispanic",0,100,100,100
57,0,1,1,1,"Hispanic",0,100,100,100
31,1,1,1,1,"Hispanic",0,100,75,60
57,1,1,1,1,"Hispanic",1,100,100,100
47,1,1,1,0,"Hispanic",0,50,36,38
52,1,1,1,0,"Hispanic",0,90,95,90
25,0,1,0,0,"Caucasian",0,50,50,50
59,0,1,1,0,"Caucasian",0,2,50,40
67,1,1,1,1,"Hispanic",0,48,50,40
68,0,1,1,1,"Hispanic",0,50,55,71
34,1,1,1,1,"Hispanic",1,50,50,70
25,1,1,1,1,"Hispanic",0,89,100,100
70,0,1,1,0,"Caucasian",0,90,95,74
28,1,0,1,1,"Hispanic",0,100,100,53
26,1,0,0,1,"Hispanic",0,100,100,100
19,1,1,0,1,"Hispanic",1,100,100,100
20,1,0,0,1,"Hispanic",0,100,100,88
18,0,1,0,1,"Hispanic",0,50,91,50
87,0,1,1,1,"Caucasian",0,5,20,20
57,0,1,1,1,"Caucasian",0,0,0,20
23,1,0,1,1,"Hispanic",1,50,60,80
62,1,1,1,0,"Hispanic",1,0,9,100
54,0,1,1,0,"Caucasian",1,50,50,50
58,1,1,1,0,"Hispanic",0,50,50,50
53,1,1,1,1,"Hispanic",1,50,84,50
57,0,1,1,1,"Hispanic",1,56,65,60
