"age","female","voted_gen_14","voted_gen_12","treat_ind","racename","democrat","therm_trans_t0","therm_trans_t1","therm_trans_t2","therm_trans_t3","therm_trans_t4","therm_obama_t0","therm_obama_t1","therm_obama_t2","therm_obama_t4"
68,1,1,1,0,"Hispanic",1,50,89,76,76,50,85,50,81,50
59,0,1,1,0,"Caucasian",1,81,50,73,86,NA,43,50,40,NA
56,1,1,1,0,"Caucasian",1,72,100,100,90,89,68,50,74,74
81,0,1,1,0,"African American",1,37,NA,NA,NA,NA,92,NA,NA,NA
24,1,0,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
66,1,1,1,0,"African American",1,50,NA,NA,NA,NA,83,NA,NA,NA
47,1,0,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
46,1,0,1,0,"African American",1,50,50,55,50,50,100,100,100,100
24,0,0,0,0,"African American",0,50,NA,NA,NA,NA,78,NA,NA,NA
30,0,0,0,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
75,1,0,0,0,"Hispanic",1,100,NA,NA,NA,NA,99,NA,NA,NA
44,1,1,1,0,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
46,0,0,1,0,"African American",1,2,NA,NA,NA,NA,50,NA,NA,NA
23,1,0,1,0,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
60,1,1,1,1,"Hispanic",0,50,56,50,50,NA,50,50,33,NA
67,0,1,1,1,"Caucasian",1,50,50,50,50,50,70,40,40,50
62,0,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,64,NA,NA,NA
61,1,1,1,1,"Caucasian",1,100,NA,NA,NA,NA,66,NA,NA,NA
27,0,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,70,NA,NA,NA
61,0,1,1,1,"Hispanic",1,90,NA,NA,NA,NA,75,NA,NA,NA
27,1,0,1,1,"Hispanic",1,100,NA,NA,NA,NA,100,NA,NA,NA
51,1,1,1,1,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
19,0,0,0,1,"Hispanic",0,50,NA,NA,NA,NA,60,NA,NA,NA
