"date","active.calories","steps","weight","steps.lag","calorie.lag"
2017-01-24,1168.2,17.34,171.5,14.82,829.8
2017-01-25,1416.3,20.21,170.7,17.34,1168.2
2017-01-26,1150.7,16.32,168.9,20.21,1416.3
2017-01-27,1161.6,17.13,168.7,16.32,1150.7
2017-01-28,1005.6,19.77,166.7,17.13,1161.6
2017-01-29,770.1,14.66,165.7,19.77,1005.6
2017-01-30,1175.3,17.33,166.3,14.66,770.1
2017-01-31,1116.4,18.24,167.3,17.33,1175.3
2017-02-01,1134.6,17.41,167.9,18.24,1116.4
2017-02-02,634.7,11.37,164.8,17.41,1134.6
2017-02-03,1135.4,16.5,169,11.37,634.7
2017-02-04,1217.1,18.87,167.4,16.5,1135.4
2017-02-05,860.2,17.48,168.2,18.87,1217.1
2017-02-06,625.3,12.41,165.9,17.48,860.2
2017-02-07,1090.6,16.58,166.3,12.41,625.3
2017-02-08,1073.8,15.69,167,16.58,1090.6
2017-02-09,746.4,11.68,164.3,15.69,1073.8
2017-02-10,534.5,11.54,165.2,11.68,746.4
2017-02-11,323.2,5.6,164.6,11.54,534.5
2017-02-12,412.1,8.32,164.3,5.6,323.2
2017-02-13,1314,16.67,164.5,8.32,412.1
2017-02-14,1165.7,17.14,164.7,16.67,1314
2017-02-15,1140.8,17.75,163.6,17.14,1165.7
2017-02-16,1076.8,15.49,163.9,17.75,1140.8
2017-02-17,1133.3,17.79,163.5,15.49,1076.8
2017-02-18,1084.6,17.02,163.3,17.79,1133.3
2017-02-19,434.3,9.97,161.4,17.02,1084.6
2017-02-20,792.2,15.9,162.2,9.97,434.3
2017-02-21,1097.1,16.05,161.8,15.9,792.2
2017-02-22,516.9,9.08,162.2,16.05,1097.1
2017-02-23,1089,17.82,160.2,9.08,516.9
2017-02-24,1171.8,18.38,161,17.82,1089
2017-02-25,445.2,9.24,160.1,18.38,1171.8
2017-02-26,977.2,16.81,159.1,9.24,445.2
2017-02-27,1120.4,17.52,160.2,16.81,977.2
2017-02-28,1110,17.16,161.2,17.52,1120.4
2017-03-01,559.7,11.3,161.7,17.16,1110
2017-03-02,693.3,13.5,158.7,11.3,559.7
2017-03-03,1026.2,16.81,157.6,13.5,693.3
2017-03-04,524.1,10.49,160.4,16.81,1026.2
2017-03-05,774.5,14.16,157.6,10.49,524.1
